Class,Feature,Coefficient,Odds_Ratio
HIGH,GI_value,-0.3023678915847111,0.7390661186636336
HIGH,Water_g,-0.24364748123311003,0.7837638770450882
HIGH,Protein_g,-0.22733694059748283,0.7966523125573244
HIGH,Fiber_g,-0.4691378017510285,0.6255413765197092
HIGH,Carbohydrate_g,0.2587768677547861,1.2953447393993105
HIGH,Fat_g,-0.25896201813489483,0.7718523388783813
HIGH,Energy_kcal,-0.16182265580211508,0.8505920387278891
HIGH,Avail_Carb_g,0.2873528559362713,1.3328944502270679
HIGH,GL,0.5125778078045395,1.669589533349953
HIGH,Fiber_to_Carb_Ratio,-0.4041627847681941,0.667535447820843
HIGH,Energy_Density,-0.16182265580211505,0.8505920387278891
HIGH,Protein_Energy_Fraction,0.2487075072732435,1.2823668952200544
HIGH,Water_Energy_Ratio,0.9044465920500139,2.4705643147369893
HIGH,cat_animal,-0.1877668740879466,0.8288079013104429
HIGH,cat_bakery,0.23021119804732976,1.2588658518656048
HIGH,cat_carbohydrate-rich,0.1907189522521428,1.2101193029797281
HIGH,cat_dairy,-0.04297749184312916,0.9579329511295156
HIGH,cat_fruit,0.4382120419627333,1.5499335235245097
HIGH,cat_grains,-0.09354209316963509,0.9106996823831659
HIGH,cat_protein-rich,0.06330564217629985,1.0653524061032151
HIGH,cat_seafood,-0.3173638277923424,0.728065816353936
HIGH,cat_snacks,-0.2162123778322771,0.8055641997264733
HIGH,"cat_vege, spices and fruit",-0.23893569209368914,0.7874655210033861
HIGH,cat_vegetable,0.0,1.0
HIGH,prep_Boiled,0.0,1.0
HIGH,prep_Raw,-0.012004938710135242,0.9880668330741978
HIGH,prep_Ultra-processed,-0.11938686984215963,0.8874644011279653
HIGH,prep_Unknown,0.048953214937259744,1.050171217264393
LOW,GI_value,0.17202427805120613,1.1877066680671826
LOW,Water_g,-0.6457414966344514,0.5242736507960154
LOW,Protein_g,0.4044837456779502,1.4985286784226206
LOW,Fiber_g,0.39524520345992414,1.4847482116881365
LOW,Carbohydrate_g,-0.4730395668642176,0.6231054163625017
LOW,Fat_g,0.3126824420382588,1.367087332622804
LOW,Energy_kcal,0.21768860372918822,1.2431998795313677
LOW,Avail_Carb_g,-0.5000333780748916,0.6065104152247124
LOW,GL,-0.3791997240253325,0.6844089061132388
LOW,Fiber_to_Carb_Ratio,0.5770550545886031,1.7807863823625447
LOW,Energy_Density,0.21768860372918822,1.2431998795313677
LOW,Protein_Energy_Fraction,0.0782758462069609,1.0814209233904413
LOW,Water_Energy_Ratio,-0.12006059425066912,0.8868666960660953
LOW,cat_animal,0.3170568925698397,1.3730806877922572
LOW,cat_bakery,-0.5753250345751167,0.562521999989961
LOW,cat_carbohydrate-rich,-0.2200663220876993,0.802465575005328
LOW,cat_dairy,0.11846112809611892,1.1257631126959367
LOW,cat_fruit,-0.18254324200409788,0.8331486161335061
LOW,cat_grains,0.27555379924626533,1.3172599704860912
LOW,cat_protein-rich,-0.5336757769630492,0.5864453606426463
LOW,cat_seafood,0.5996089571909152,1.8214064132323338
LOW,cat_snacks,0.19940727561603047,1.220679017473326
LOW,"cat_vege, spices and fruit",0.8229285215120485,2.2771587908346556
LOW,cat_vegetable,0.0,1.0
LOW,prep_Boiled,0.0,1.0
LOW,prep_Raw,-0.33357046742735214,0.7163614167152295
LOW,prep_Ultra-processed,0.3177112139959589,1.3739794179031892
LOW,prep_Unknown,0.22680648642868334,1.2545870648247461
MEDIUM,GI_value,0.13034361353350485,1.1392197674080546
MEDIUM,Water_g,0.8893889778675612,2.4336421876604564
MEDIUM,Protein_g,-0.17714680508046718,0.837656803221674
MEDIUM,Fiber_g,0.07389259829110403,1.076691160815488
MEDIUM,Carbohydrate_g,0.2142626991094314,1.2389480826047148
MEDIUM,Fat_g,-0.053720423903363554,0.9476970229023832
MEDIUM,Energy_kcal,-0.05586594792707282,0.9456658958676252
MEDIUM,Avail_Carb_g,0.21268052213862043,1.2369893973823085
MEDIUM,GL,-0.13337808377920748,0.8751341555230021
MEDIUM,Fiber_to_Carb_Ratio,-0.1728922698204096,0.8412282356321399
MEDIUM,Energy_Density,-0.05586594792707289,0.9456658958676251
MEDIUM,Protein_Energy_Fraction,-0.3269833534802046,0.7210957466613186
MEDIUM,Water_Energy_Ratio,-0.7843859977993448,0.4563998462821653
MEDIUM,cat_animal,-0.1292900184818931,0.8787190838124653
MEDIUM,cat_bakery,0.34511383652778693,1.4121506648465472
MEDIUM,cat_carbohydrate-rich,0.02934736983555726,1.0297822476425968
MEDIUM,cat_dairy,-0.07548363625298944,0.9272949044290678
MEDIUM,cat_fruit,-0.2556687999586353,0.7743984071081808
MEDIUM,cat_grains,-0.18201170607663042,0.8335915822716801
MEDIUM,cat_protein-rich,0.47037013478674894,1.6005865163398003
MEDIUM,cat_seafood,-0.2822451293985733,0.7540888125381459
MEDIUM,cat_snacks,0.016805102216246953,1.0169471022731167
MEDIUM,"cat_vege, spices and fruit",-0.5839928294183595,0.5576672451039636
MEDIUM,cat_vegetable,0.0,1.0
MEDIUM,prep_Boiled,0.0,1.0
MEDIUM,prep_Raw,0.34557540613748733,1.4128026211277869
MEDIUM,prep_Ultra-processed,-0.19832434415379946,0.820103814118445
MEDIUM,prep_Unknown,-0.27575970136594286,0.7589952943819952
