timestamp,rtt,true_fidelity,adaptive_action,static_action,zombie_adaptive,unnecessary_flush_adaptive,zombie_static,unnecessary_flush_static
2024-01-01T00:00:00+00:00,0.1,0.9524187090179798,HOLD,HOLD,False,False,False,False
2024-01-01T00:00:01+00:00,0.2,0.9093653765389909,HOLD,HOLD,False,False,False,False
2024-01-01T00:00:02+00:00,0.05,0.975614712250357,HOLD,HOLD,False,False,False,False
2024-01-01T00:00:03+00:00,0.02,0.9900993366533777,HOLD,HOLD,False,False,False,False
2024-01-01T00:00:04+00:00,0.16,0.9260718944831057,HOLD,HOLD,False,False,False,False
2024-01-01T00:00:05+00:00,0.03,0.9852227667742541,HOLD,HOLD,False,False,False,False
2024-01-01T00:00:06+00:00,0.59,0.7771636423672535,FLUSH,FLUSH,False,False,False,False
2024-01-01T00:00:07+00:00,0.41,0.8318251250681596,FLUSH,FLUSH,False,False,False,False
2024-01-01T00:00:08+00:00,0.13,0.9390477154602807,HOLD,HOLD,False,False,False,False
2024-01-01T00:00:09+00:00,0.39,0.8385284372490823,FLUSH,FLUSH,False,False,False,False
2024-01-01T00:00:10+00:00,0.02,0.9900993366533777,HOLD,HOLD,False,False,False,False
2024-01-01T00:00:11+00:00,0.42,0.8285234099075284,FLUSH,FLUSH,False,False,False,False
2024-01-01T00:00:12+00:00,0.09,0.9569655926356141,HOLD,HOLD,False,False,False,False
2024-01-01T00:00:13+00:00,0.23,0.897266801251667,HOLD,HOLD,False,False,False,False
2024-01-01T00:00:14+00:00,0.17,0.9218324082981919,HOLD,HOLD,False,False,False,False
2024-01-01T00:00:15+00:00,0.18,0.917635105705636,HOLD,HOLD,False,False,False,False
2024-01-01T00:00:16+00:00,0.03,0.9852227667742541,HOLD,HOLD,False,False,False,False
2024-01-01T00:00:17+00:00,0.11,0.9479170676482641,HOLD,HOLD,False,False,False,False
2024-01-01T00:00:18+00:00,0.18,0.917635105705636,HOLD,HOLD,False,False,False,False
2024-01-01T00:00:19+00:00,0.42,0.8285234099075284,FLUSH,FLUSH,False,False,False,False
2024-01-01T00:00:20+00:00,0.59,0.7771636423672535,FLUSH,FLUSH,False,False,False,False
2024-01-01T00:00:21+00:00,0.45,0.8188140758108866,FLUSH,FLUSH,False,False,False,False
2024-01-01T00:00:22+00:00,0.41,0.8318251250681596,FLUSH,FLUSH,False,False,False,False
2024-01-01T00:00:23+00:00,0.3,0.8704091103408589,HOLD,HOLD,False,False,False,False
2024-01-01T00:00:24+00:00,0.43,0.8252545473616583,FLUSH,FLUSH,False,False,False,False
2024-01-01T00:00:25+00:00,0.35,0.8523440448593567,HOLD,FLUSH,False,False,False,True
2024-01-01T00:00:26+00:00,0.23,0.897266801251667,HOLD,HOLD,False,False,False,False
2024-01-01T00:00:27+00:00,0.11,0.9479170676482641,HOLD,HOLD,False,False,False,False
2024-01-01T00:00:28+00:00,0.3,0.8704091103408589,HOLD,HOLD,False,False,False,False
2024-01-01T00:00:29+00:00,0.06,0.9708822667921244,HOLD,HOLD,False,False,False,False
2024-01-01T00:00:30+00:00,0.44,0.8220182105415708,FLUSH,FLUSH,False,False,False,False
2024-01-01T00:00:31+00:00,0.4,0.8351600230178197,FLUSH,FLUSH,False,False,False,False
2024-01-01T00:00:32+00:00,0.28,0.8778918707278627,HOLD,HOLD,False,False,False,False
2024-01-01T00:00:33+00:00,0.04,0.9803947195761615,HOLD,HOLD,False,False,False,False
2024-01-01T00:00:34+00:00,0.42,0.8285234099075284,FLUSH,FLUSH,False,False,False,False
2024-01-01T00:00:35+00:00,0.07,0.9661969099529741,HOLD,HOLD,False,False,False,False
2024-01-01T00:00:36+00:00,0.27,0.8816897471684266,HOLD,HOLD,False,False,False,False
2024-01-01T00:00:37+00:00,0.04,0.9803947195761615,HOLD,HOLD,False,False,False,False
2024-01-01T00:00:38+00:00,0.05,0.975614712250357,HOLD,HOLD,False,False,False,False
2024-01-01T00:00:39+00:00,0.02,0.9900993366533777,HOLD,HOLD,False,False,False,False
2024-01-01T00:00:40+00:00,0.06,0.9708822667921244,HOLD,HOLD,False,False,False,False
2024-01-01T00:00:41+00:00,0.13,0.9390477154602807,HOLD,HOLD,False,False,False,False
2024-01-01T00:00:42+00:00,0.2,0.9093653765389909,HOLD,HOLD,False,False,False,False
2024-01-01T00:00:43+00:00,0.57,0.7827627193497686,FLUSH,FLUSH,False,False,False,False
2024-01-01T00:00:44+00:00,0.04,0.9803947195761615,HOLD,HOLD,False,False,False,False
2024-01-01T00:00:45+00:00,0.05,0.975614712250357,HOLD,HOLD,False,False,False,False
2024-01-01T00:00:46+00:00,0.44,0.8220182105415708,FLUSH,FLUSH,False,False,False,False
2024-01-01T00:00:47+00:00,0.38,0.8419307046061779,FLUSH,FLUSH,False,False,False,False
2024-01-01T00:00:48+00:00,0.21,0.9052921229850935,HOLD,HOLD,False,False,False,False
2024-01-01T00:00:49+00:00,0.05,0.975614712250357,HOLD,HOLD,False,False,False,False
2024-01-01T00:00:50+00:00,0.04,0.9803947195761615,HOLD,HOLD,False,False,False,False
2024-01-01T00:00:51+00:00,0.47,0.8125011341413504,FLUSH,FLUSH,False,False,False,False
2024-01-01T00:00:52+00:00,0.23,0.897266801251667,HOLD,HOLD,False,False,False,False
2024-01-01T00:00:53+00:00,0.14,0.9346791176994029,HOLD,HOLD,False,False,False,False
2024-01-01T00:00:54+00:00,0.48,0.8093916959030705,FLUSH,FLUSH,False,False,False,False
2024-01-01T00:00:55+00:00,0.12,0.9434602183585787,HOLD,HOLD,False,False,False,False
2024-01-01T00:00:56+00:00,0.06,0.9708822667921244,HOLD,HOLD,False,False,False,False
2024-01-01T00:00:57+00:00,0.24,0.8933139305332767,HOLD,HOLD,False,False,False,False
2024-01-01T00:00:58+00:00,0.47,0.8125011341413504,FLUSH,FLUSH,False,False,False,False
