eta,computed_budget_ns
0.01,2337.9089869391423
0.035789473684210524,8367.25321641377
0.06157894736842105,14396.597445888401
0.08736842105263157,20425.94167536303
0.1131578947368421,26455.28590483766
0.13894736842105262,32484.630134312287
0.16473684210526315,38513.97436378692
0.19052631578947368,44543.318593261545
0.2163157894736842,50572.66282273618
0.24210526315789474,56602.00705221081
0.26789473684210524,62631.351281685435
0.29368421052631577,68660.69551116007
0.3194736842105263,74690.03974063469
0.3452631578947368,80719.38397010932
0.37105263157894736,86748.72819958396
0.3968421052631579,92778.07242905858
0.4226315789473684,98807.41665853321
0.44842105263157894,104836.76088800785
0.47421052631578947,110866.10511748247
0.5,116895.4493469571
