Species,IUCN_Status
Cophixalus verrucosus,LEAST_CONCERN
Cophixalus wempi,LEAST_CONCERN
Cophixalus zweifeli,LEAST_CONCERN
Copiula exspectata,DATA_DEFICIENT
Copiula fistulans,LEAST_CONCERN
Copiula major,DATA_DEFICIENT
Copiula minor,LEAST_CONCERN
Copiula obsti,DATA_DEFICIENT
Copiula oxyrhina,LEAST_CONCERN
Copiula pipiens,LEAST_CONCERN
Copiula tyleri,LEAST_CONCERN
Genyophryne thomsoni,
Hylophorbus nigrinus,LEAST_CONCERN
Hylophorbus picoides,LEAST_CONCERN
Hylophorbus proekes,LEAST_CONCERN
Hylophorbus rainerguentheri,LEAST_CONCERN
Hylophorbus richardsi,LEAST_CONCERN
Hylophorbus rufescens,DATA_DEFICIENT
Hylophorbus sextus,LEAST_CONCERN
Hylophorbus tetraphonus,LEAST_CONCERN
Hylophorbus wondiwoi,LEAST_CONCERN
Liophryne allisoni,
Liophryne dentata,
Liophryne magnitympanum,
Liophryne rhododactyla,
Liophryne rubra,
Liophryne schlaginhaufeni,
Liophryne similis,
Mantophryne axanthogaster,LEAST_CONCERN
Mantophryne infulata,
Mantophryne lateralis,LEAST_CONCERN
Mantophryne louisiadensis,LEAST_CONCERN
Metamagnusia marani,
Metamagnusia slateri,
Oninia senglaubi,DATA_DEFICIENT
Oreophryne albopunctata,LEAST_CONCERN
Oreophryne alticola,DATA_DEFICIENT
Oreophryne anamiatoi,LEAST_CONCERN
Oreophryne anthonyi,LEAST_CONCERN
Oreophryne anulata,LEAST_CONCERN
Oreophryne asplenicola,DATA_DEFICIENT
Oreophryne atrigularis,DATA_DEFICIENT
Oreophryne biroi,LEAST_CONCERN
Oreophryne brachypus,LEAST_CONCERN
Oreophryne brevicrus,DATA_DEFICIENT
Oreophryne brevirostris,VULNERABLE
Oreophryne celebensis,VULNERABLE
Oreophryne clamata,DATA_DEFICIENT
Oreophryne crucifer,LEAST_CONCERN
Oreophryne ezra,CRITICALLY_ENDANGERED
Oreophryne flava,DATA_DEFICIENT
Oreophryne frontifasciata,DATA_DEFICIENT
Oreophryne furu,LEAST_CONCERN
Oreophryne geislerorum,LEAST_CONCERN
Oreophryne geminus,DATA_DEFICIENT
Oreophryne habbemensis,DATA_DEFICIENT
Oreophryne hypsiops,LEAST_CONCERN
Oreophryne idenburgensis,LEAST_CONCERN
Oreophryne inornata,LEAST_CONCERN
Oreophryne insulana,LEAST_CONCERN
Oreophryne jeffersoniana,LEAST_CONCERN
Oreophryne kampeni,DATA_DEFICIENT
Oreophryne kapisa,LEAST_CONCERN
Oreophryne loriae,DATA_DEFICIENT
Oreophryne mertoni,DATA_DEFICIENT
Oreophryne minuta,LEAST_CONCERN
Oreophryne moluccensis,LEAST_CONCERN
Oreophryne monticola,ENDANGERED
Oreophryne nana,
Oreophryne notata,LEAST_CONCERN
Oreophryne parkeri,
Oreophryne pseudasplenicola,DATA_DEFICIENT
Oreophryne rookmaakeri,ENDANGERED
Oreophryne sibilans,DATA_DEFICIENT
Oreophryne terrestris,DATA_DEFICIENT
Oreophryne unicolor,DATA_DEFICIENT
Oreophryne variabilis,VULNERABLE
Oreophryne waira,DATA_DEFICIENT
Oreophryne wapoga,DATA_DEFICIENT
Oreophryne wolterstorffi,DATA_DEFICIENT
Oreophryne zimmeri,ENDANGERED
Oxydactyla alpestris,
Oxydactyla brevicrus,
Oxydactyla coggeri,
Oxydactyla crassa,
Oxydactyla stenodactyla,
Paedophryne kathismaphlox,CRITICALLY_ENDANGERED
Paedophryne oyatabu,DATA_DEFICIENT
Pherohapsis menziesi,
Pseudocallulops eurydactylus,
Pseudocallulops pullifer,
Sphenophryne cornuta,LEAST_CONCERN
Xenorhina adisca,DATA_DEFICIENT
Xenorhina anorbis,DATA_DEFICIENT
Xenorhina arboricola,LEAST_CONCERN
Xenorhina arfakiana,LEAST_CONCERN
Xenorhina bidens,LEAST_CONCERN
Xenorhina bouwensi,LEAST_CONCERN
Xenorhina eiponis,DATA_DEFICIENT
Xenorhina fuscigula,LEAST_CONCERN
Xenorhina gigantea,DATA_DEFICIENT
Xenorhina huon,DATA_DEFICIENT
Xenorhina lanthanites,DATA_DEFICIENT
Xenorhina macrodisca,DATA_DEFICIENT
Xenorhina macrops,LEAST_CONCERN
Xenorhina mehelyi,LEAST_CONCERN
Xenorhina minima,LEAST_CONCERN
Xenorhina multisica,LEAST_CONCERN
Xenorhina obesa,LEAST_CONCERN
Xenorhina ocellata,LEAST_CONCERN
Xenorhina ophiodon,DATA_DEFICIENT
Xenorhina oxycephala,LEAST_CONCERN
Xenorhina parkerorum,LEAST_CONCERN
Xenorhina rostrata,LEAST_CONCERN
Xenorhina scheepstrai,DATA_DEFICIENT
Xenorhina schiefenhoeveli,LEAST_CONCERN
Xenorhina similis,LEAST_CONCERN
Xenorhina subcrocea,DATA_DEFICIENT
Xenorhina tumulus,LEAST_CONCERN
Xenorhina varia,DATA_DEFICIENT
Xenorhina zweifeli,LEAST_CONCERN
Anodonthyla boulengerii,NEAR_THREATENED
Anodonthyla emilei,ENDANGERED
Anodonthyla hutchisoni,ENDANGERED
Anodonthyla jeanbai,ENDANGERED
Anodonthyla montana,VULNERABLE
Anodonthyla moramora,ENDANGERED
Anodonthyla nigrigularis,ENDANGERED
Anodonthyla pollicaris,ENDANGERED
Anodonthyla rouxae,ENDANGERED
Anodonthyla theoi,CRITICALLY_ENDANGERED
Anodonthyla vallani,CRITICALLY_ENDANGERED
Cophyla berara,ENDANGERED
Cophyla occultans,VULNERABLE
Cophyla phyllodactyla,LEAST_CONCERN
Madecassophryne Truebae,
Platypelis alticola,ENDANGERED
Platypelis barbouri,LEAST_CONCERN
Platypelis cowanii,DATA_DEFICIENT
Platypelis grandis,LEAST_CONCERN
Platypelis mavomavo,ENDANGERED
Platypelis milloti,ENDANGERED
Platypelis pollicaris,LEAST_CONCERN
Platypelis tetra,ENDANGERED
Platypelis tsaratananaensis,ENDANGERED
Platypelis tuberifera,LEAST_CONCERN
Plethodontohyla bipunctata,LEAST_CONCERN
Plethodontohyla brevipes,VULNERABLE
Plethodontohyla fonetana,ENDANGERED
Plethodontohyla guentheri,ENDANGERED
Plethodontohyla inguinalis,LEAST_CONCERN
Plethodontohyla mihanika,LEAST_CONCERN
Plethodontohyla notosticta,LEAST_CONCERN
Plethodontohyla ocellata,LEAST_CONCERN
