Packet Collision Rate (%),Channel Utilization (%),Queue Length (packets),UAV Count,Mobility Speed (m/s),Network Density (UAVs/km²),Traffic Load (packets/sec),SNR (dB),Optimal CW Size
21.854305348131312,42.03364037451028,32,23,6.167871847370879,28.564853722457485,116.76769816873603,24.06399569550974,42
47.78214378844623,65.22356157959328,11,6,18.965826914184294,19.360557041920814,31.267569845609955,10.434001905510833,56
37.93972738151323,86.74147933196653,39,15,2.7710759921440387,26.146191741511792,125.80611929094681,22.623761561201423,59
31.93963178886665,77.59461761662148,32,9,10.034964024737507,27.612089457211944,118.00207132279563,13.272329774851102,53
12.020838819909644,82.42647461099423,18,6,3.260063218395184,14.034693864050537,160.47867634708484,21.31207055496087,28
12.01975341512912,72.82091883619663,14,17,15.126225372445575,19.175466756952922,197.47064620723458,20.078260507612,26
7.613762547568976,74.9979766936604,20,21,12.95136084584032,40.6134387728139,57.665959626060996,10.270272846123651,29
43.97792655987208,85.19771735174575,20,11,14.719416742416735,46.210470775435724,106.83472565271452,17.25731633990207,56
32.0501755284444,46.22842057584708,35,13,8.740647199424306,21.190734209538476,182.68442720061068,22.021823347926055,52
36.86326600082205,61.812622636804136,46,10,8.650674812564844,18.813752699405818,159.18607804033985,26.972131037975593,60
5.92630224331111,44.378613718274146,29,3,2.8157470212961027,13.783872405734714,102.60719758915344,27.772842276730344,26
48.645943347289744,94.19842051978206,17,25,8.299008911533516,35.53210258927616,189.62061342680778,19.676999400664464,57
42.45991883601898,91.36385707962987,10,27,18.72719124071707,19.539486574985176,20.87497176819378,24.568449745988765,47
14.555259980522427,32.562742738952885,48,26,8.826077669248082,49.448729259463484,186.88973774539096,16.329091530669153,46
13.182123524319527,75.86238621351976,13,10,16.96461871199546,19.655816092877895,19.596404552733244,16.84372811517315,27
13.253202943404522,90.14114063201828,49,15,17.16185908549881,22.736122105218268,113.98790138179002,13.889270383646275,46
18.690900933179197,41.73739743327668,40,24,8.71834081482621,32.150038829541565,179.18378012020628,21.238962199864787,44
28.614039423450702,66.91643998592092,47,29,13.375796247131403,41.075793193608725,59.91697927664754,16.291283018547304,57
24.43752583889521,89.50673934322272,24,6,3.7166888409150554,26.128339940553516,99.72721479958012,11.6874179287701,44
18.105311308911887,32.206488608076924,22,10,3.866214453216977,24.019521520503126,71.62248703602366,23.700121733263575,34
32.53338026250708,75.3323173710446,47,5,2.8758379459108396,49.803702511766375,190.90734424450676,24.15506415210796,58
11.277223729341882,49.3276854792158,25,11,12.45827168075197,5.4722138512975,166.49266300308727,17.199848375581155,32
18.146509184084817,90.08575269947448,8,4,9.669277597269748,45.27793799830606,144.7102871520121,11.534467989120456,31
21.486282948216125,93.1187859357489,37,4,11.864582419956323,11.711337167288185,121.64912745687066,18.525954348068517,46
25.523149289766618,91.37732179237321,31,15,11.379317429150982,40.3666374294011,165.91243997158813,18.84670916100431,46
40.33291826268561,60.82392408273515,11,17,8.303653839633146,32.806920193083414,84.53073788947394,23.37341769795786,46
13.985320197126189,86.03277231430538,10,25,14.194521466822511,20.383127847414144,95.03485247015176,16.30832782517367,27
28.140549728612523,84.89571090477958,19,14,15.653033856495032,44.324372998445824,148.70032700536368,23.65198559562611,40
31.65865559879191,50.741530760811614,22,28,2.263308659798163,5.580825259144639,77.9734050258057,27.429770835147767,44
7.090268572399898,83.87950581979402,36,6,5.730361395839809,15.201079343371566,22.141178989191026,14.749720847243996,35
32.339518335564726,32.40549625650702,15,28,14.838245625500063,30.510175831229123,24.123575688353576,29.578391122397996,40
12.673585565928118,68.75754210133346,24,10,8.959163107409015,20.819401702236412,31.918932248083735,17.72736274273614,32
7.927321684337578,44.9505744237007,28,11,13.924711044948946,32.46698728932475,175.23945143529593,15.345173702941235,31
47.699849176399994,37.83684757552312,19,25,8.245327875222053,6.084958703390007,99.72302089367882,18.43022365020581,58
48.45344148835517,35.001958105898595,11,7,9.033592741933468,10.240651871677063,145.44765017549994,11.887949518077184,56
41.37788066524075,75.25877043207907,25,26,4.856219726414329,10.719330809829765,84.65277376492972,12.514118130242313,57
18.70761961280168,52.091872644924294,46,22,6.648158353990881,13.517764066220424,59.15508000897056,18.28868093936663,48
9.395245130287275,77.10984014936949,30,20,12.89741163513657,25.669914836024425,75.96651183682027,25.248890438782002,30
35.79048619304706,34.248162151931254,48,13,9.796936003672995,38.8457914794607,160.8946456102649,28.00624479148982,60
24.80686221828206,50.49387195898967,18,17,15.937448293002713,45.74924770680055,128.79106375597325,23.29635981432542,37
10.491720568015047,65.06693400439693,41,24,17.34652918889017,42.591763862791076,188.15155819200137,12.104391104763394,41
27.28296095500716,81.39700571453264,25,11,11.749635527901678,13.85995422990576,139.14390792959847,23.440395243610702,43
6.547483450184828,50.718912690584546,22,19,15.648811257009065,24.851774850378458,118.33451003339185,22.70855841405944,25
45.91941809354519,70.68293946840559,9,29,7.52428123750226,13.973521899134075,125.93724170730854,26.115278365866626,49
16.645099172000762,87.58855363535216,7,28,9.469481877201407,16.901231750023584,189.05057349899877,26.50497333304362,24
34.81350279592919,70.0311072318498,27,14,14.829998171902957,27.659614168034878,159.75817667467416,27.36406151557958,49
19.026998424023493,45.142365858986196,30,9,8.951815870706552,8.064906112558514,14.567835099623185,18.282630291581967,40
28.403060953001486,31.58605080117497,41,12,12.593088832861799,14.817844831697295,111.48654226578248,23.957287907042886,52
29.601962570447583,86.55642680356044,28,27,5.336710023485207,47.09201725882028,140.78429819384732,15.365007178446215,49
13.318450498648717,31.382511705275164,23,28,12.795883669468964,25.975233169632006,152.25271090343946,29.986725599670084,29
48.63130824940514,86.85560872447296,29,27,17.507246730084084,25.042393669004248,50.49700266964797,13.5066848275372,65
39.880977051250156,64.38091371176878,25,12,17.63551351682166,5.6555219638075505,174.76369734575692,10.202288633216716,57
47.27745237038851,91.03940040333825,16,29,15.038199313931713,16.13298861762556,191.6101979632811,12.97617429036352,57
45.2672307692442,81.92091032528825,45,15,15.423560823370268,43.98315961919816,54.97590811052525,25.517445790882533,67
31.905499046498832,94.86571718466693,37,21,12.042694012712612,12.408279271640094,177.6969369282767,18.93567353016423,54
46.48434057604026,52.79626800436116,8,13,12.524025622984846,23.680622279062447,28.425964878058124,18.950004956208566,51
8.982162592336378,79.86723878052325,46,15,4.405710465389324,5.644890764015057,20.584298861896585,29.10045839223337,37
13.819228808861533,56.12550938460074,11,23,9.989465391583419,26.525096675175014,34.55252201952238,28.392698160561483,24
7.035228000974213,61.191915319754074,26,10,10.113973109954548,5.945949802679772,20.97080509873684,16.223894756080185,29
19.639864884346895,70.78785510919406,37,10,19.252961042019322,41.882429887960996,170.55232505959742,14.181162575617323,45
22.49047803602669,86.78901242211202,21,6,9.75956352721921,42.11841953691966,21.21952744707167,26.969644198674793,36
17.210706429825315,93.96542549795419,28,17,11.888167608249638,40.448398473606645,61.616196359094545,28.120381420887263,35
