sep=;
ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);GRAVITY X (m/s²);GRAVITY Y (m/s²);GRAVITY Z (m/s²);LINEAR ACCELERATION X (m/s²);LINEAR ACCELERATION Y (m/s²);LINEAR ACCELERATION Z (m/s²);GYROSCOPE X (rad/s);GYROSCOPE Y (rad/s);GYROSCOPE Z (rad/s);LIGHT (lux);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);ORIENTATION Z (azimuth °);ORIENTATION X (pitch °);ORIENTATION Y (roll °);PROXIMITY (i);SOUND LEVEL (dB);LOCATION Latitude : ;LOCATION Longitude : ;LOCATION Altitude ( m);LOCATION Altitude-google ( m);LOCATION Speed ( m/s);LOCATION Accuracy ( m);LOCATION ORIENTATION (°);Satellites in range;Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
1.761;0.421;7.621;-2.968;1.4;9.241;-4.026;1.336;1.179;1.9529;-0.7309;-0.2592;1.0;21.54;-35.21;-12.42;207.09;-5.31;18.81;5.0;41.329;22.511473;88.40384;-164.52;NaN;;75.0871;;0 / 1;15;2020-02-12 17:50:32:372
1.761;0.421;7.621;-2.968;1.4;9.241;-4.062;2.551;1.557;0.1807;-2.3744;-0.7401;1.0;21.54;-35.21;-12.42;207.09;-5.31;18.81;5.0;41.329;22.511473;88.40384;-164.52;NaN;;75.0871;;0 / 1;25;2020-02-12 17:50:32:382
1.072;-1.685;7.985;-2.106;1.283;9.491;-4.062;2.551;1.557;0.1807;-2.3744;-0.7401;1.0;18.53;-35.16;-14.1;207.09;-5.31;18.81;5.0;41.329;22.511473;88.40384;-164.52;NaN;;75.0871;;0 / 1;35;2020-02-12 17:50:32:392
1.072;-1.685;7.985;-2.106;1.283;9.491;-4.062;2.551;1.557;0.1807;-2.3744;-0.7401;1.0;18.53;-35.16;-14.1;207.09;-5.31;18.81;5.0;41.329;22.511473;88.40384;-164.52;NaN;;75.0871;;0 / 1;45;2020-02-12 17:50:32:402
1.072;-1.685;7.985;-2.106;1.283;9.491;-1.784;4.515;2.775;-2.1143;-2.4542;-0.5112;1.0;18.53;-35.16;-14.1;207.09;-5.31;18.81;5.0;41.329;22.511473;88.40384;-164.52;NaN;;75.0871;;0 / 1;55;2020-02-12 17:50:32:412
0.134;-4.5;6.185;-1.411;0.655;9.682;-1.784;4.515;2.775;-2.1143;-2.4542;-0.5112;1.0;15.66;-34.86;-15.42;200.94;-7.52;12.51;5.0;41.329;22.511473;88.40384;-164.52;NaN;;75.0871;;0 / 1;65;2020-02-12 17:50:32:422
0.134;-4.5;6.185;-1.411;0.655;9.682;-1.784;4.515;2.775;-2.1143;-2.4542;-0.5112;1.0;15.66;-34.86;-15.42;200.94;-7.52;12.51;5.0;41.329;22.511473;88.40384;-164.52;NaN;;75.0871;;0 / 1;75;2020-02-12 17:50:32:432
0.134;-4.5;6.185;-1.411;0.655;9.682;-1.784;4.515;2.775;-2.1143;-2.4542;-0.5112;1.0;15.66;-34.86;-15.42;200.94;-7.52;12.51;5.0;41.329;22.511473;88.40384;-164.52;NaN;;75.0871;;0 / 1;84;2020-02-12 17:50:32:441
0.88;-4.863;3.063;-0.732;-0.232;9.776;-1.549;4.438;6.017;-3.3721;-2.3635;0.2061;1.0;11.16;-36.0;-16.5;200.94;-7.52;12.51;5.0;41.329;22.511473;88.40384;-164.52;NaN;;75.0871;;0 / 1;95;2020-02-12 17:50:32:452
0.88;-4.863;3.063;-0.732;-0.232;9.776;-1.549;4.438;6.017;-3.3721;-2.3635;0.2061;1.0;11.16;-36.0;-16.5;200.94;-7.52;12.51;5.0;41.329;22.511473;88.40384;-164.52;NaN;;75.0871;;0 / 1;105;2020-02-12 17:50:32:462
0.88;-4.863;3.063;-0.732;-0.232;9.776;-1.549;4.438;6.017;-3.3721;-2.3635;0.2061;1.0;11.16;-36.0;-16.5;200.94;-7.52;12.51;5.0;41.329;22.511473;88.40384;-164.52;NaN;;75.0871;;0 / 1;115;2020-02-12 17:50:32:472
2.01;-7.774;1.397;-0.122;-1.569;9.679;-1.838;5.935;8.426;-5.352;-2.0473;0.8468;1.0;3.95;-37.55;-16.92;184.05;1.36;4.28;5.0;41.329;22.511473;88.40384;-164.52;NaN;;75.0871;;0 / 1;125;2020-02-12 17:50:32:482
2.01;-7.774;1.397;-0.122;-1.569;9.679;-1.838;5.935;8.426;-5.352;-2.0473;0.8468;1.0;3.95;-37.55;-16.92;184.05;1.36;4.28;5.0;41.329;22.511473;88.40384;-164.52;NaN;;75.0871;;0 / 1;135;2020-02-12 17:50:32:492
2.01;-7.774;1.397;-0.122;-1.569;9.679;-1.838;5.935;8.426;-5.352;-2.0473;0.8468;1.0;3.95;-37.55;-16.92;184.05;1.36;4.28;5.0;41.329;22.511473;88.40384;-164.52;NaN;;75.0871;;0 / 1;145;2020-02-12 17:50:32:502
2.01;-7.774;1.397;-0.122;-1.569;9.679;-1.838;5.935;8.426;-5.352;-2.0473;0.8468;1.0;-4.62;-37.91;-14.4;184.05;1.36;4.28;5.0;41.329;22.511473;88.40384;-164.52;NaN;;75.0871;;0 / 1;155;2020-02-12 17:50:32:512
8.425;-7.985;2.968;0.965;-3.916;8.938;-6.375;4.255;5.955;-6.2283;-4.5761;1.7195;1.0;-4.62;-37.91;-14.4;184.05;1.36;4.28;5.0;41.329;22.511473;88.40384;-164.52;NaN;;75.0871;;0 / 1;165;2020-02-12 17:50:32:522
8.425;-7.985;2.968;0.965;-3.916;8.938;-6.375;4.255;5.955;-6.2283;-4.5761;1.7195;1.0;-4.62;-37.91;-14.4;184.05;1.36;4.28;5.0;41.329;22.511473;88.40384;-164.52;NaN;;75.0871;;0 / 1;175;2020-02-12 17:50:32:532
8.425;-7.985;2.968;0.965;-3.916;8.938;-6.375;4.255;5.955;-6.2283;-4.5761;1.7195;1.0;-13.74;-35.75;-8.82;160.79;23.54;-6.16;5.0;41.329;22.511473;88.40384;-164.52;NaN;;75.0871;;0 / 1;185;2020-02-12 17:50:32:542
14.993;-5.591;5.687;2.516;-5.078;8.002;-12.07;0.873;2.472;-2.7477;-8.2649;2.0644;0.0;-13.74;-35.75;-8.82;160.79;23.54;-6.16;5.0;41.329;22.511473;88.40384;-164.52;NaN;;75.0871;;0 / 1;195;2020-02-12 17:50:32:552
14.993;-5.591;5.687;2.516;-5.078;8.002;-12.07;0.873;2.472;-2.7477;-8.2649;2.0644;0.0;-13.74;-35.75;-8.82;160.79;23.54;-6.16;5.0;41.329;22.511473;88.40384;-164.52;NaN;;75.0871;;0 / 1;206;2020-02-12 17:50:32:563
14.993;-5.591;5.687;2.516;-5.078;8.002;-12.07;0.873;2.472;-2.7477;-8.2649;2.0644;0.0;-21.54;-31.5;-2.52;160.79;23.54;-6.16;5.0;41.329;22.511473;88.40384;-164.52;NaN;;75.0871;;0 / 1;215;2020-02-12 17:50:32:572
14.993;-5.591;5.687;2.516;-5.078;8.002;-12.07;0.873;2.472;-2.7477;-8.2649;2.0644;0.0;-21.54;-31.5;-2.52;160.79;23.54;-6.16;5.0;41.329;22.511473;88.40384;-164.52;NaN;;75.0871;;0 / 1;225;2020-02-12 17:50:32:582
14.783;-3.753;5.534;4.686;-5.243;6.834;-10.241;-1.347;1.522;1.6139;-7.9274;1.0295;0.0;-21.54;-31.5;-2.52;160.79;23.54;-6.16;5.0;41.329;22.511473;88.40384;-164.52;NaN;;75.0871;;0 / 1;235;2020-02-12 17:50:32:592
14.783;-3.753;5.534;4.686;-5.243;6.834;-10.241;-1.347;1.522;1.6139;-7.9274;1.0295;0.0;-21.54;-31.5;-2.52;160.79;23.54;-6.16;5.0;41.329;22.511473;88.40384;-164.52;NaN;;75.0871;;0 / 1;245;2020-02-12 17:50:32:602
