sep=;
ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);GRAVITY X (m/s²);GRAVITY Y (m/s²);GRAVITY Z (m/s²);LINEAR ACCELERATION X (m/s²);LINEAR ACCELERATION Y (m/s²);LINEAR ACCELERATION Z (m/s²);GYROSCOPE X (rad/s);GYROSCOPE Y (rad/s);GYROSCOPE Z (rad/s);LIGHT (lux);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);ORIENTATION Z (azimuth °);ORIENTATION X (pitch °);ORIENTATION Y (roll °);PROXIMITY (i);SOUND LEVEL (dB);LOCATION Latitude : ;LOCATION Longitude : ;LOCATION Altitude ( m);LOCATION Altitude-google ( m);LOCATION Speed ( m/s);LOCATION Accuracy ( m);LOCATION ORIENTATION (°);Satellites in range;Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
16.008;-6.721;9.383;6.203;-6.178;4.417;-8.483;0.702;-9.189;4.5878;-2.0155;0.3779;0.0;-12.24;24.06;40.91;58.26;43.93;-57.77;2.0;29.87;22.5026;88.364525;;NaN;;305.14514;;0 / 5;15;2020-02-16 18:38:20:919
16.008;-6.721;9.383;6.203;-6.178;4.417;-8.483;0.702;-9.189;4.5878;-2.0155;0.3779;0.0;-12.24;24.06;40.91;58.26;43.93;-57.77;2.0;29.87;22.5026;88.364525;;NaN;;305.14514;;0 / 5;25;2020-02-16 18:38:20:929
16.008;-6.721;9.383;6.203;-6.178;4.417;-10.308;0.727;-3.181;4.3649;-1.8328;0.0659;0.0;-12.24;24.06;40.91;58.26;43.93;-57.77;2.0;29.87;22.502544;88.364815;335.16;NaN;0.0;28.387096;0.0;5 / 7;35;2020-02-16 18:38:20:939
16.008;-6.721;9.383;6.203;-6.178;4.417;-10.308;0.727;-3.181;4.3649;-1.8328;0.0659;0.0;-12.24;24.06;40.91;58.26;43.93;-57.77;2.0;29.87;22.502544;88.364815;335.16;NaN;0.0;28.387096;0.0;5 / 7;45;2020-02-16 18:38:20:949
18.249;-6.261;2.163;6.49;-5.596;4.766;-10.308;0.727;-3.181;4.3649;-1.8328;0.0659;0.0;-8.39;26.82;41.82;58.26;43.93;-57.77;2.0;29.87;22.502544;88.364815;335.16;NaN;0.0;28.387096;0.0;5 / 7;55;2020-02-16 18:38:20:959
18.249;-6.261;2.163;6.49;-5.596;4.766;-11.788;0.993;3.71;3.0798;-2.4986;-0.5882;0.0;-8.39;26.82;41.82;58.26;43.93;-57.77;2.0;29.87;22.502544;88.364815;335.16;NaN;0.0;28.387096;0.0;5 / 7;80;2020-02-16 18:38:20:984
18.249;-6.261;2.163;6.49;-5.596;4.766;-11.788;0.993;3.71;3.0798;-2.4986;-0.5882;0.0;-8.39;26.82;41.82;58.26;43.93;-57.77;2.0;29.87;22.502544;88.364815;335.16;NaN;0.0;28.387096;0.0;5 / 7;80;2020-02-16 18:38:20:984
18.249;-6.261;2.163;6.49;-5.596;4.766;-11.788;0.993;3.71;3.0798;-2.4986;-0.5882;0.0;-8.39;26.82;41.82;58.26;43.93;-57.77;2.0;29.87;22.502544;88.364815;335.16;NaN;0.0;28.387096;0.0;5 / 7;101;2020-02-16 18:38:21:005
18.249;-6.261;2.163;6.49;-5.596;4.766;-11.788;0.993;3.71;3.0798;-2.4986;-0.5882;0.0;-8.39;26.82;41.82;58.26;43.93;-57.77;2.0;29.87;22.502544;88.364815;335.16;NaN;0.0;28.387096;0.0;5 / 7;101;2020-02-16 18:38:21:005
18.306;-6.931;-0.631;6.943;-5.039;4.75;-11.553;1.634;4.94;2.7322;-2.7731;-0.6829;0.0;-6.3;28.92;42.06;46.71;34.8;-53.71;2.0;29.87;22.502544;88.364815;335.16;NaN;0.0;28.387096;0.0;5 / 7;118;2020-02-16 18:38:21:022
