sep=;
ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);GRAVITY X (m/s²);GRAVITY Y (m/s²);GRAVITY Z (m/s²);LINEAR ACCELERATION X (m/s²);LINEAR ACCELERATION Y (m/s²);LINEAR ACCELERATION Z (m/s²);GYROSCOPE X (rad/s);GYROSCOPE Y (rad/s);GYROSCOPE Z (rad/s);LIGHT (lux);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);ORIENTATION Z (azimuth °);ORIENTATION X (pitch °);ORIENTATION Y (roll °);PROXIMITY (i);SOUND LEVEL (dB);LOCATION Latitude : ;LOCATION Longitude : ;LOCATION Altitude ( m);LOCATION Altitude-google ( m);LOCATION Speed ( m/s);LOCATION Accuracy ( m);LOCATION ORIENTATION (°);Satellites in range;Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
13.557;1.225;2.144;8.802;-2.835;3.261;-3.673;-3.788;1.069;-1.1272;-1.553;-3.1957;0.0;-38.04;-3.36;-26.64;203.95;26.3;-63.97;2.0;29.883;22.509424;88.40601;;NaN;;72.69032;;0 / 0;26;2020-02-14 21:04:00:562
13.557;1.225;2.144;8.802;-2.835;3.261;-3.673;-3.788;1.069;-1.1272;-1.553;-3.1957;0.0;-38.57;-3.66;-25.68;212.48;16.81;-69.67;2.0;29.883;22.509424;88.40601;;NaN;;72.69032;;0 / 0;36;2020-02-14 21:04:00:572
11.68;0.248;0.038;8.802;-2.835;3.261;-3.673;-3.788;1.069;-1.1272;-1.553;-3.1957;0.0;-38.57;-3.66;-25.68;212.48;16.81;-69.67;2.0;29.883;22.509424;88.40601;;NaN;;72.69032;;0 / 0;46;2020-02-14 21:04:00:582
11.68;0.248;0.038;9.295;-1.883;2.492;-2.227;-1.856;3.691;-1.1272;-1.553;-3.1957;0.0;-38.57;-3.66;-25.68;212.48;16.81;-69.67;2.0;29.883;22.509424;88.40601;;NaN;;72.69032;;0 / 0;55;2020-02-14 21:04:00:591
11.68;0.248;0.038;9.295;-1.883;2.492;-2.227;-1.856;3.691;-1.5266;-2.1258;-2.6218;0.0;-38.46;-4.98;-24.6;212.48;16.81;-69.67;2.0;29.883;22.509424;88.40601;;NaN;;72.69032;;0 / 0;65;2020-02-14 21:04:00:601
11.163;-0.689;-5.285;9.295;-1.883;2.492;-2.227;-1.856;3.691;-1.5266;-2.1258;-2.6218;0.0;-38.46;-4.98;-24.6;212.48;16.81;-69.67;2.0;29.883;22.509424;88.40601;;NaN;;72.69032;;0 / 0;77;2020-02-14 21:04:00:613
11.163;-0.689;-5.285;9.552;-1.323;1.781;-1.425;-0.656;8.169;-1.5266;-2.1258;-2.6218;0.0;-38.46;-4.98;-24.6;212.48;16.81;-69.67;2.0;29.883;22.509424;88.40601;;NaN;;72.69032;;0 / 0;85;2020-02-14 21:04:00:621
11.163;-0.689;-5.285;9.552;-1.323;1.781;-1.425;-0.656;8.169;-1.5266;-2.1258;-2.6218;0.0;-38.52;-7.68;-24.84;231.79;7.75;-79.44;2.0;29.883;22.509424;88.40601;;NaN;;72.69032;;0 / 0;96;2020-02-14 21:04:00:632
11.163;-0.689;-5.285;9.552;-1.323;1.781;-1.425;-0.656;8.169;-0.6551;-3.145;-1.2599;0.0;-38.52;-7.68;-24.84;231.79;7.75;-79.44;2.0;29.883;22.509424;88.40601;;NaN;;72.69032;;0 / 0;106;2020-02-14 21:04:00:642
6.376;-1.742;-11.738;9.552;-1.323;1.781;-1.425;-0.656;8.169;-0.6551;-3.145;-1.2599;0.0;-38.52;-7.68;-24.84;231.79;7.75;-79.44;2.0;29.883;22.509424;88.40601;;NaN;;72.69032;;0 / 0;115;2020-02-14 21:04:00:651
6.376;-1.742;-11.738;9.754;-0.935;0.37;3.843;1.87;12.968;-0.6551;-3.145;-1.2599;0.0;-38.52;-7.68;-24.84;231.79;7.75;-79.44;0.0;29.883;22.509424;88.40601;;NaN;;72.69032;;0 / 0;125;2020-02-14 21:04:00:661
6.376;-1.742;-11.738;9.754;-0.935;0.37;3.843;1.87;12.968;0.1766;-5.8471;-0.1192;0.0;-39.84;-12.17;-21.35;231.79;7.75;-79.44;0.0;29.883;22.509424;88.40601;;NaN;;72.69032;;0 / 0;136;2020-02-14 21:04:00:672
4.48;-3.389;-9.976;9.754;-0.935;0.37;3.843;1.87;12.968;0.1766;-5.8471;-0.1192;0.0;-39.84;-12.17;-21.35;231.79;7.75;-79.44;0.0;29.883;22.509424;88.40601;;NaN;;72.69032;;0 / 0;146;2020-02-14 21:04:00:682
