sep=;
ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);GRAVITY X (m/s²);GRAVITY Y (m/s²);GRAVITY Z (m/s²);LINEAR ACCELERATION X (m/s²);LINEAR ACCELERATION Y (m/s²);LINEAR ACCELERATION Z (m/s²);GYROSCOPE X (rad/s);GYROSCOPE Y (rad/s);GYROSCOPE Z (rad/s);LIGHT (lux);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);ORIENTATION Z (azimuth °);ORIENTATION X (pitch °);ORIENTATION Y (roll °);PROXIMITY (i);SOUND LEVEL (dB);LOCATION Latitude : ;LOCATION Longitude : ;LOCATION Altitude ( m);LOCATION Altitude-google ( m);LOCATION Speed ( m/s);LOCATION Accuracy ( m);LOCATION ORIENTATION (°);Satellites in range;Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
11.47;-2.527;0.0;7.554;-5.659;2.658;-6.746;-1.218;2.876;-0.7361;-1.5012;-2.8228;0.0;-0.06;28.38;-30.3;300.74;40.45;-64.61;0.0;34.553;22.500317;88.36947;345.16;NaN;0.0;24.516129;0.0;7 / 7;18;2020-02-17 19:32:24:465
11.47;-2.527;0.0;8.116;-5.05;2.186;-2.057;-3.348;2.309;-0.7361;-1.5012;-2.8228;0.0;-0.06;28.38;-30.3;300.74;40.45;-64.61;0.0;34.553;22.500317;88.36947;345.16;NaN;0.0;24.516129;0.0;7 / 7;28;2020-02-17 19:32:24:475
11.47;-2.527;0.0;8.116;-5.05;2.186;-2.057;-3.348;2.309;-0.7361;-1.5012;-2.8228;0.0;-0.06;28.38;-30.3;300.74;40.45;-64.61;0.0;34.553;22.500317;88.36947;345.16;NaN;0.0;24.516129;0.0;7 / 7;38;2020-02-17 19:32:24:485
-8.674;-2.087;-32.879;8.116;-5.05;2.186;-2.057;-3.348;2.309;-0.2983;-2.9758;-2.3201;0.0;-0.06;28.38;-30.3;300.74;40.45;-64.61;0.0;34.553;22.500317;88.36947;345.16;NaN;0.0;24.516129;0.0;7 / 7;48;2020-02-17 19:32:24:495
-8.674;-2.087;-32.879;8.116;-5.05;2.186;-2.057;-3.348;2.309;-0.2983;-2.9758;-2.3201;0.0;-3.3;26.28;-31.56;298.73;31.0;-74.93;0.0;34.553;22.500317;88.36947;345.16;NaN;0.0;24.516129;0.0;7 / 7;58;2020-02-17 19:32:24:505
-8.674;-2.087;-32.879;8.743;-4.278;1.192;9.955;-1.445;21.228;-0.2983;-2.9758;-2.3201;0.0;-3.3;26.28;-31.56;298.73;31.0;-74.93;0.0;34.553;22.500317;88.36947;345.16;NaN;0.0;24.516129;0.0;7 / 7;68;2020-02-17 19:32:24:515
-8.674;-2.087;-32.879;8.743;-4.278;1.192;9.955;-1.445;21.228;-0.2983;-2.9758;-2.3201;0.0;-3.3;26.28;-31.56;298.73;31.0;-74.93;0.0;34.553;22.500317;88.36947;345.16;NaN;0.0;24.516129;0.0;7 / 7;78;2020-02-17 19:32:24:525
6.606;-0.019;1.187;8.743;-4.278;1.192;9.955;-1.445;21.228;-0.519;-4.4;-1.8751;0.0;-3.3;26.28;-31.56;298.73;31.0;-74.93;0.0;34.553;22.500317;88.36947;345.16;NaN;0.0;24.516129;0.0;7 / 7;88;2020-02-17 19:32:24:535
6.606;-0.019;1.187;9.112;-3.598;-0.435;2.574;-3.653;-1.171;-0.519;-4.4;-1.8751;0.0;-5.4;24.9;-32.04;298.73;31.0;-74.93;0.0;34.553;22.500317;88.36947;345.16;NaN;0.0;24.516129;0.0;7 / 7;98;2020-02-17 19:32:24:545
6.606;-0.019;1.187;9.112;-3.598;-0.435;2.574;-3.653;-1.171;-0.519;-4.4;-1.8751;0.0;-5.4;24.9;-32.04;298.73;31.0;-74.93;0.0;34.553;22.500317;88.36947;345.16;NaN;0.0;24.516129;0.0;7 / 7;108;2020-02-17 19:32:24:555
-1.57;-0.938;-2.489;9.112;-3.598;-0.435;2.574;-3.653;-1.171;-0.6738;-4.9465;-1.8349;0.0;-5.4;24.9;-32.04;298.73;31.0;-74.93;0.0;34.553;22.500317;88.36947;345.16;NaN;0.0;24.516129;0.0;7 / 7;118;2020-02-17 19:32:24:565
