sep=;
ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);GRAVITY X (m/s²);GRAVITY Y (m/s²);GRAVITY Z (m/s²);LINEAR ACCELERATION X (m/s²);LINEAR ACCELERATION Y (m/s²);LINEAR ACCELERATION Z (m/s²);GYROSCOPE X (rad/s);GYROSCOPE Y (rad/s);GYROSCOPE Z (rad/s);LIGHT (lux);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);ORIENTATION Z (azimuth °);ORIENTATION X (pitch °);ORIENTATION Y (roll °);PROXIMITY (i);SOUND LEVEL (dB);LOCATION Latitude : ;LOCATION Longitude : ;LOCATION Altitude ( m);LOCATION Altitude-google ( m);LOCATION Speed ( m/s);LOCATION Accuracy ( m);LOCATION ORIENTATION (°);Satellites in range;Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
12.734;-0.459;5.4;6.907;-1.407;6.817;-6.14;-0.685;1.464;-0.567;-1.4931;-1.7658;530.0;-19.32;-13.62;-37.02;217.0;10.58;-44.29;2.0;37.043;;;;NaN;;;;0 / 0;17;2020-02-12 17:18:08:182
12.734;-0.459;5.4;6.907;-1.407;6.817;-6.14;-0.685;1.464;-0.567;-1.4931;-1.7658;530.0;-19.32;-13.62;-37.02;217.0;10.58;-44.29;2.0;37.043;;;;NaN;;;;0 / 0;28;2020-02-12 17:18:08:193
14.419;-2.604;4.327;7.538;-1.178;6.16;-6.967;1.954;2.415;-0.567;-1.4931;-1.7658;530.0;-21.42;-13.67;-35.21;207.49;8.25;-45.38;2.0;37.043;;;;NaN;;;;0 / 0;75;2020-02-12 17:18:08:240
14.419;-2.604;4.327;7.538;-1.178;6.16;-6.967;1.954;2.415;-0.567;-1.4931;-1.7658;530.0;-21.42;-13.67;-35.21;207.49;8.25;-45.38;2.0;37.043;;;;NaN;;;;0 / 0;75;2020-02-12 17:18:08:240
14.419;-2.604;4.327;7.538;-1.178;6.16;-6.967;1.954;2.415;-0.567;-1.4931;-1.7658;530.0;-21.42;-13.67;-35.21;207.49;8.25;-45.38;2.0;37.043;;;;NaN;;;;0 / 0;76;2020-02-12 17:18:08:241
14.419;-2.604;4.327;7.538;-1.178;6.16;-6.967;1.954;2.415;-0.567;-1.4931;-1.7658;530.0;-21.42;-13.67;-35.21;207.49;8.25;-45.38;2.0;37.043;;;;NaN;;;;0 / 0;76;2020-02-12 17:18:08:241
14.419;-2.604;4.327;7.538;-1.178;6.16;-6.967;1.954;2.415;-0.567;-1.4931;-1.7658;530.0;-21.42;-13.67;-35.21;207.49;8.25;-45.38;2.0;37.043;;;;NaN;;;;0 / 0;77;2020-02-12 17:18:08:242
14.419;-2.604;4.327;7.538;-1.178;6.16;-6.967;1.954;2.415;-0.567;-1.4931;-1.7658;530.0;-21.42;-13.67;-35.21;207.49;8.25;-45.38;2.0;37.043;;;;NaN;;;;0 / 0;88;2020-02-12 17:18:08:253
14.649;-4.117;2.546;7.719;-1.171;5.932;-6.881;2.75;3.099;-1.0502;-2.8282;-0.9192;151.0;-22.08;-13.62;-34.8;207.49;8.25;-45.38;2.0;37.043;;;;NaN;;;;0 / 0;98;2020-02-12 17:18:08:263
14.649;-4.117;2.546;7.719;-1.171;5.932;-6.881;2.75;3.099;-1.0502;-2.8282;-0.9192;151.0;-22.08;-13.62;-34.8;207.49;8.25;-45.38;2.0;37.043;;;;NaN;;;;0 / 0;107;2020-02-12 17:18:08:272
