Feature,Importance
Risk_Score,0.26621191697300123
Collision_Rate,0.2298710019736281
Throughput_Mbps,0.19695641199552688
Packet_Delivery_Ratio,0.11870371510442591
Congestion_Index,0.08164382356082381
Queue_Length,0.03621426901005991
Network_Load,0.03229569608854199
Jitter_ms,0.009555091941790514
Efficiency_Ratio,0.006913767227798543
Latency_ms,0.006371817872701004
Packet_Size,0.0052508037943667174
Load_SNR_Interaction,0.002527863252228216
Signal_Quality_Score,0.002366054563161821
Transmission_Rate,0.0023260431331497875
SNR,0.0016449053852713592
