timestamp,rtt,true_fidelity
2024-01-01T00:08:16+00:00,13.7,0.5000005612231826
2024-01-01T00:05:30+00:00,9.07,0.5000575332693231
2024-01-01T00:08:59+00:00,8.65,0.5000875634240788
2024-01-01T00:07:22+00:00,4.06,0.5086245095576731
2024-01-01T00:08:35+00:00,3.5,0.5150986917111593
2024-01-01T00:04:30+00:00,3.49,0.5152504360856087
2024-01-01T00:01:51+00:00,3.4,0.5166866349801631
2024-01-01T00:08:57+00:00,1.97,0.5697284281075254
2024-01-01T00:11:16+00:00,1.86,0.5778363151839987
2024-01-01T00:03:17+00:00,1.78,0.5843190736342978
