timestamp,rtt,true_fidelity,static_action
2024-01-01T00:00:03+00:00,0.02,0.8351600230178197,HOLD
2024-01-01T00:00:10+00:00,0.02,0.8351600230178197,HOLD
2024-01-01T00:00:39+00:00,0.02,0.8351600230178197,HOLD
2024-01-01T00:00:59+00:00,0.02,0.8351600230178197,HOLD
2024-01-01T00:01:43+00:00,0.02,0.8351600230178197,HOLD
2024-01-01T00:02:10+00:00,0.02,0.8351600230178197,HOLD
2024-01-01T00:03:35+00:00,0.02,0.8351600230178197,HOLD
2024-01-01T00:05:51+00:00,0.02,0.8351600230178197,HOLD
2024-01-01T00:06:26+00:00,0.02,0.8351600230178197,HOLD
2024-01-01T00:06:29+00:00,0.02,0.8351600230178197,HOLD
