Node_ID,Initial_Accuracy_Pred,APC_Triggered,Adjusted_Accuracy_Pred
6782,83.63608713314642,False,83.63608713314642
169,74.60185940028823,True,74.61226731019858
866,71.28299339553429,True,71.27435596953006
2614,74.90284309019995,True,74.90284309019995
733,81.93031876476702,False,81.93031876476702
1226,68.78979514078786,True,68.78979514078786
7133,78.02928044923577,False,78.02928044923577
2131,82.04626303369305,False,82.04626303369305
2820,77.70022148241485,False,77.70022148241485
4474,77.02421476043584,False,77.02421476043584
3827,69.29932139638677,True,69.31851812021641
8642,81.60352253228515,False,81.60352253228515
7748,80.52601641271471,False,80.52601641271471
554,79.36941211970425,False,79.36941211970425
80,77.20565495361947,False,77.20565495361947
2189,79.14620699502589,False,79.14620699502589
5042,76.97223322823727,False,76.97223322823727
8712,83.93255525180307,False,83.93255525180307
6700,71.00272394685793,True,70.99028760322818
4332,73.1281286224721,True,73.12487043836603
5570,79.02461643970067,False,79.02461643970067
6842,79.30987000215913,False,79.30987000215913
8819,75.4342781241828,False,75.4342781241828
3448,77.45229307476893,False,77.45229307476893
6817,80.16849867107356,False,80.16849867107356
239,78.03425698132551,False,78.03425698132551
5171,81.25091810981597,False,81.25091810981597
4584,71.4390509592472,True,71.42661461561745
5198,72.59266904373479,True,72.56508314777224
5059,78.78612500698554,False,78.78612500698554
8239,76.13577334747337,False,76.13577334747337
6384,76.78774942866302,False,76.78774942866302
4535,77.48996449663801,False,77.48996449663801
6826,81.15594679334589,False,81.15594679334589
766,76.05869132068588,False,76.05869132068588
3918,76.40576302658198,False,76.40576302658198
7839,73.16320498518346,True,73.16320498518346
4860,83.85537464447754,False,83.85537464447754
6219,74.23908702642848,True,74.23908702642848
1052,79.79297141330044,False,79.79297141330044
1558,73.03694027937996,True,73.03694027937996
7374,80.66135943220182,False,80.66135943220182
6178,79.88959267089045,False,79.88959267089045
7213,73.17432806330167,True,73.17432806330167
5074,80.02711978274735,False,80.02711978274735
3615,78.2810538721316,False,78.2810538721316
2880,82.7768786808593,False,82.7768786808593
1793,74.71506473283571,True,74.71506473283571
6936,72.74029848303957,True,72.75070639294991
93,83.33926415046922,False,83.33926415046922
3946,78.82445054185135,False,78.82445054185135
668,82.27796126324418,False,82.27796126324418
321,79.3043379190382,False,79.3043379190382
1044,86.46765041201412,False,86.46765041201412
5344,71.33471229799402,True,71.33471229799402
3126,82.20246984617201,False,82.20246984617201
6780,76.16145569600708,False,76.16145569600708
7497,76.09954533511508,False,76.09954533511508
965,83.41571135956983,False,83.41571135956983
6630,78.2922639481947,False,78.2922639481947
5731,75.52196500016785,False,75.52196500016785
4134,80.01811300431046,False,80.01811300431046
8040,80.53597036964437,False,80.53597036964437
2697,82.16747884070993,False,82.16747884070993
3956,77.68205319909481,False,77.68205319909481
7832,69.06529983193634,True,69.06529983193634
2627,76.81670711416386,False,76.81670711416386
1057,80.8635857060569,False,80.8635857060569
1297,75.80983407022114,False,75.80983407022114
6025,81.96003106522085,False,81.96003106522085
4629,77.51158595259041,False,77.51158595259041
5277,68.88259018837044,True,68.91895846128281
1516,72.88234615265328,True,72.88234615265328
2348,78.74731680146273,False,78.74731680146273
4490,79.81474793248064,False,79.81474793248064
6328,82.09880282385355,False,82.09880282385355
2251,70.75973644978708,True,70.77968452982591
6100,85.60453409302553,False,85.60453409302553
2191,78.19982838310489,False,78.19982838310489
3412,72.07931957702465,True,72.07931957702465
4762,76.2538684089877,False,76.2538684089877
1688,68.86094984731749,True,68.88031740856191
7998,71.4169131538615,True,71.4391816606212
5333,86.46080098709297,False,86.46080098709297
1034,81.13998772182612,False,81.13998772182612
2145,83.49916487581828,False,83.49916487581828
1732,83.89856762757414,False,83.89856762757414
1199,72.82187832357597,True,72.83643298124888
6572,80.99355156579999,False,80.99355156579999
1509,86.30697253554197,False,86.30697253554197
5770,76.56904429756929,False,76.56904429756929
6589,82.83123957054048,False,82.83123957054048
6810,76.86440809821649,False,76.86440809821649
88,72.3301358254953,True,72.30254992953277
