time,uv_index,shortwave_radiation,direct_radiation,cloud_cover,latitude,longitude
2022-01-01 00:00:00,,0.0,0.0,96,51.5,-0.12
2022-01-01 01:00:00,,0.0,0.0,100,51.5,-0.12
2022-01-01 02:00:00,,0.0,0.0,100,51.5,-0.12
2022-01-01 03:00:00,,0.0,0.0,100,51.5,-0.12
2022-01-01 04:00:00,,0.0,0.0,100,51.5,-0.12
2022-01-01 05:00:00,,0.0,0.0,100,51.5,-0.12
2022-01-01 06:00:00,,0.0,0.0,100,51.5,-0.12
2022-01-01 07:00:00,,0.0,0.0,100,51.5,-0.12
2022-01-01 08:00:00,,0.0,0.0,99,51.5,-0.12
2022-01-01 09:00:00,,0.0,0.0,100,51.5,-0.12
2022-01-01 10:00:00,,17.0,3.0,65,51.5,-0.12
2022-01-01 11:00:00,,88.0,35.0,67,51.5,-0.12
2022-01-01 12:00:00,,165.0,105.0,100,51.5,-0.12
2022-01-01 13:00:00,,163.0,56.0,99,51.5,-0.12
2022-01-01 14:00:00,,172.0,91.0,100,51.5,-0.12
2022-01-01 15:00:00,,93.0,5.0,100,51.5,-0.12
2022-01-01 16:00:00,,56.0,1.0,100,51.5,-0.12
2022-01-01 17:00:00,,14.0,2.0,100,51.5,-0.12
2022-01-01 18:00:00,,0.0,0.0,100,51.5,-0.12
2022-01-01 19:00:00,,0.0,0.0,100,51.5,-0.12
2022-01-01 20:00:00,,0.0,0.0,100,51.5,-0.12
2022-01-01 21:00:00,,0.0,0.0,100,51.5,-0.12
2022-01-01 22:00:00,,0.0,0.0,100,51.5,-0.12
2022-01-01 23:00:00,,0.0,0.0,100,51.5,-0.12
2022-01-02 00:00:00,,0.0,0.0,100,51.5,-0.12
2022-01-02 01:00:00,,0.0,0.0,100,51.5,-0.12
2022-01-02 02:00:00,,0.0,0.0,100,51.5,-0.12
2022-01-02 03:00:00,,0.0,0.0,100,51.5,-0.12
2022-01-02 04:00:00,,0.0,0.0,100,51.5,-0.12
2022-01-02 05:00:00,,0.0,0.0,100,51.5,-0.12
2022-01-02 06:00:00,,0.0,0.0,100,51.5,-0.12
2022-01-02 07:00:00,,0.0,0.0,52,51.5,-0.12
2022-01-02 08:00:00,,0.0,0.0,46,51.5,-0.12
2022-01-02 09:00:00,,0.0,0.0,6,51.5,-0.12
2022-01-02 10:00:00,,21.0,10.0,14,51.5,-0.12
2022-01-02 11:00:00,,104.0,67.0,17,51.5,-0.12
2022-01-02 12:00:00,,183.0,135.0,93,51.5,-0.12
2022-01-02 13:00:00,,202.0,123.0,61,51.5,-0.12
2022-01-02 14:00:00,,211.0,147.0,93,51.5,-0.12
2022-01-02 15:00:00,,121.0,44.0,100,51.5,-0.12
2022-01-02 16:00:00,,39.0,1.0,100,51.5,-0.12
2022-01-02 17:00:00,,7.0,0.0,92,51.5,-0.12
2022-01-02 18:00:00,,0.0,0.0,75,51.5,-0.12
2022-01-02 19:00:00,,0.0,0.0,39,51.5,-0.12
2022-01-02 20:00:00,,0.0,0.0,18,51.5,-0.12
2022-01-02 21:00:00,,0.0,0.0,30,51.5,-0.12
2022-01-02 22:00:00,,0.0,0.0,23,51.5,-0.12
2022-01-02 23:00:00,,0.0,0.0,40,51.5,-0.12
2022-01-03 00:00:00,,0.0,0.0,25,51.5,-0.12
